year,中國,香港,韓國,日本,新加坡,加拿大,澳洲,馬來西亞,澳門,印尼
095,54,1125,152,430,887,13,0,26,0,0
096,82,1573,742,787,1436,83,79,38,1,18
097,248,915,551,838,650,8,25,31,0,9
098,313,1506,415,993,1170,16,10,89,0,18
099,402,1576,541,1009,1069,0,9,64,0,26
100,479,1356,524,1161,750,29,14,38,1,29
101,429,425,417,834,181,29,12,28,0,0
102,1378,2107,721,810,1158,31,21,39,0,0
103,2064,1889,917,760,700,47,0,52,2,0
104,4696,2712,1769,805,716,2,0,96,1,0
105,532,124,394,431,37,0,0,0,0,0
106,1817,1614,364,592,309,29,0,33,3,0
107,2101,1455,746,626,240,7,0,16,6,0
108,4784,2022,475,657,126,17,3,9,7,0
109,3981,3727,825,692,250,35,13,32,11,0
