year,中國,日本,香港,新加坡,加拿大,澳門,馬來西亞,泰國,韓國,越南
095,118,433,25,1,1,0,0,0,6,0
096,49,460,70,47,5,1,0,0,49,0
097,80,666,26,6,19,1,0,0,47,0
098,714,866,63,7,30,3,0,0,99,0
099,930,1002,57,21,17,0,0,0,67,25
100,1952,908,75,20,0,0,0,0,0,0
101,3524,734,8,6,0,2,0,0,0,0
102,3912,900,4,19,11,0,2,0,40,0
103,8061,907,12,3,32,0,1,0,6,0
104,21440,1261,31,2,16,0,0,0,16,0
105,27819,1130,16,1,6,0,0,0,78,0
106,26747,663,20,2,5,0,0,0,0,0
107,31047,696,131,16,14,0,0,18,0,0
108,50168,1023,150,124,0,3,2,5,0,0
109,41661,2160,1186,421,136,27,14,12,4,0
